22,8192,4314,0,3793,0,61547
-620,516,-16772,223,253,-256,18017354
-640,628,-16896,101,140,8,1371061
-576,588,-16804,286,300,1,1567520
-512,544,-16776,235,272,8,1763979
-656,656,-16904,121,118,8,1960438
-548,608,-16732,265,288,22,2174386
-560,640,-16784,230,286,15,2375968
-604,728,-16648,145,94,14,2572427
-600,592,-16672,262,270,28,2768886
-636,524,-16776,252,280,-23,2965345
-552,604,-16828,100,148,24,3169398
-620,508,-16796,231,262,-5,3375722
-580,552,-16756,257,291,2,3572181
-608,592,-16760,151,101,33,3768640
-616,480,-16732,203,243,33,3965099
-648,532,-16740,271,313,6,4161558
-564,636,-16828,137,164,2,4375377
-648,576,-16844,223,245,-19,4571836
-568,484,-16736,248,317,-15,4768295
-580,616,-16828,185,146,23,4964754
-524,576,-16924,227,171,0,5161213
-564,272,-16668,241,305,23,5365399
-648,536,-16796,153,149,4,5607807
-616,604,-16808,217,170,11,5804266
-580,612,-16644,279,333,55,6000725
-612,508,-16788,146,205,-1,4294873024
-588,544,-16784,166,153,-3,6393643
-552,584,-16800,296,322,0,6590102
-556,660,-16856,177,196,274,1737359616
-592,528,-16832,137,146,6,6983020
-612,608,-16720,258,293,4,7179479
-588,488,-16824,181,278,0,7375938
-556,564,-16856,152,140,-3,7572397
-492,572,-16716,284,333,238,7768856
-672,556,-16808,204,251,-3,7965315
-648,556,-16860,134,111,-21,8161774
-604,616,-16716,246,304,-3,8554692
-664,560,-16876,156,128,33,8751151
-592,548,-16792,248,254,47,8947610
-464,532,-16660,294,297,274,2340881664
-576,644,-16900,137,122,31,9340528
-532,536,-16764,234,203,-20,9536987
-628,496,-16720,301,314,-8,9733446
-660,544,-16808,162,157,-6,9929905
-644,512,-16824,189,230,1,10126364
-576,564,-16668,254,281,24,10322823
-592,448,-16804,170,177,-3,10519282
-620,516,-16768,146,183,-19,10715741
-572,548,-16752,263,310,786,2793523200
-564,528,-16756,200,224,8,11108659
-620,580,-16844,148,150,-12,11305118
-548,564,-16776,255,288,-256,11501577
-540,644,-16768,211,225,36,11698036
-564,576,-16928,111,162,0,11894495
-600,584,-16848,263,284,6,12090954
-584,272,-16812,259,260,-4,12287413
-644,588,-16864,162,146,-5,12483872
-648,536,-16760,237,235,-10,12680331
-492,528,-16712,230,309,26,12876790
-608,568,-16832,111,161,-2,13073249
-608,576,-16764,215,227,32,13269708
-512,532,-16716,286,300,-5,13466167
-536,556,-16704,128,211,-8,13662626
-620,600,-16836,187,172,-8,13860107
-504,584,-16720,280,307,42,14057380
-652,492,-16764,143,198,20,14253839
-584,668,-16840,165,187,530,3699276288
-556,540,-16776,267,330,50,14646757
-600,488,-16828,216,177,-19,14843216
-608,644,-16860,134,166,13,15039675
-756,568,-16756,269,290,26,15236134
-600,492,-16804,184,218,6,15432593
-644,504,-16920,134,130,38,15631479
-548,588,-16760,256,277,37,15835546
-628,264,-16752,216,288,-236,16041140
-568,628,-16880,108,134,-10,16241033
-568,612,-16804,265,284,36,16442514
-648,540,-16772,246,277,21,16638973
-600,596,-16708,241,272,7,17032007
-608,424,-16824,257,288,7,17228466
-568,568,-16788,161,142,7,17429766
-600,548,-16744,194,234,37,17643978
-504,516,-16812,244,279,-3,17851200
-624,488,-16836,105,163,786,308638720
-564,596,-16744,227,224,33,18244831
-492,544,-16744,253,293,0,18441290
-588,612,-16696,262,317,30,19030667
-516,596,-16844,142,159,32,19227126
-652,572,-16828,204,213,11,19423585
-644,624,-16652,297,326,14,19620044
-652,436,-16828,192,207,-10,19816503
-596,640,-16852,168,146,-23,20012962
-652,556,-16824,265,298,-6,20209421
-532,532,-16652,245,227,16,20405880
-588,584,-16948,123,134,-3,20602339
-608,476,-16844,271,266,23,20798798
-580,520,-16772,235,269,11,20995257
-580,556,-16824,114,132,-15,21191716
-628,620,-16868,236,234,786,1985711872
-636,576,-16708,298,301,30,21584634
-640,640,-16904,125,135,23,21781093
-684,564,-16816,207,189,41,21977552
-536,544,-16624,344,329,4,22178201
-596,544,-16800,168,158,16,22374660
-608,620,-16872,181,206,35,22571119
-504,524,-16632,300,318,31,22767578
-536,464,-16784,178,208,7,22964037
-600,624,-16820,171,146,-14,23160496
-616,628,-16796,278,323,-8,23356955
-540,572,-16860,190,234,-17,23553414
-712,540,-16916,135,76,27,23749873
-520,584,-16780,283,287,14,23946332
-612,568,-16784,229,312,-256,24142791
-664,520,-16832,130,118,30,24339250
-644,580,-16824,212,256,34,24535709
-660,560,-16804,234,313,35,24732168
-568,568,-16852,156,136,0,24928627
-656,504,-16804,230,236,27,25125086
-556,564,-16748,247,293,49,25321545
-720,664,-16800,126,161,15,25518004
-616,580,-16732,215,201,-12,25714463
-524,536,-16600,255,304,37,25910922
-560,496,-16828,151,148,-10,26107381
-624,540,-16828,197,174,2,26303840
-576,600,-16672,310,312,4,26500299
-588,528,-16736,196,232,21,26696758
-568,572,-17124,161,139,4,26893217
-600,556,-16772,262,326,-7,268304383
-536,596,-16784,254,278,2,27286135
-644,540,-16908,135,126,25,27482594
-572,560,-16748,251,272,-15,27679053
-532,564,-16736,241,301,-225,2980665528
-640,636,-16816,127,118,28,28071971
-500,616,-16796,243,284,-22,28464889
-588,572,-16812,137,159,786,3042337792
-620,644,-16864,192,205,2,28857807
-560,544,-16720,262,374,1,29054266
-592,572,-16768,196,137,-6,29250725
-548,576,-16884,165,170,-11,29447184
-588,636,-16660,278,321,4,29643643
-580,532,-16764,158,165,-3,29850867
-568,592,-16848,172,140,12,30047326
-564,564,-16748,310,339,530,3447441664
-564,576,-16792,186,217,-4,30441092
-628,560,-16800,142,147,39,30638475
-620,520,-16744,270,311,2,30836714
-520,572,-16844,174,246,-10,31033886
-588,536,-16904,149,132,-5,31230345
-544,564,-16788,256,345,0,31426804
-628,556,-16832,227,247,-11,31623263
-568,576,-16736,229,309,33,32016181
-556,720,-16740,270,257,-16,32212640
-632,536,-16836,125,127,7,32409099
-604,596,-16768,227,246,30,32605558
-564,524,-16736,293,320,-1,32802017
-608,536,-16892,151,148,14,32998476
-636,512,-16804,198,257,7,33194935
-592,532,-16756,299,339,40,33391394
-580,568,-16900,161,170,26,33587853
-596,564,-16812,126,192,26,33784312
-548,520,-16680,306,338,786,110001920
-560,556,-16820,189,214,27,34180586
-488,556,-16864,187,149,20,34377161
-540,760,-16780,271,328,43,34573620
-544,572,-16844,230,212,28,34770079
-572,608,-16920,115,105,-6,34967352
-576,632,-16752,495,293,15,35165356
-640,536,-16700,530,4609,258,2551578624
-640,580,-16928,116,86,-9,35560110
-632,508,-16708,270,291,15,35756569
-584,508,-16808,237,280,35,35953028
-632,600,-16820,122,141,274,664334335
-560,528,-16876,281,286,0,36345946
-568,564,-16732,262,326,-252,36543116
-644,480,-16828,125,137,13,36739575
-704,572,-16828,169,203,40,36936034
-564,400,-16656,265,326,11,37132493
-648,536,-16816,155,143,-22,37328952
-668,544,-16776,181,203,7,37525411
-632,524,-16704,270,302,26,37722818
-604,532,-120,-81,-4353,-5477,2950541310
-672,616,-16832,186,178,14,38118941
-612,584,-16656,295,315,530,3758013183
-540,484,-16772,172,229,47,38511859
-612,576,-16832,184,151,21,38708318
-532,496,-16720,282,306,3,38904777
-600,476,-16792,223,236,30,39101236
-596,600,-16916,142,106,-22,39299312
-556,580,-16788,300,304,37,39497449
-512,576,-16792,217,255,530,1572135168
-588,508,-16740,277,234,34,2456009342
-588,552,-16760,253,294,2,40287544
-608,600,-16892,113,142,-8,40484003
-616,408,-16852,207,208,7,40680462
-644,508,-16736,281,290,-2,40876921
-640,612,-16852,166,139,241,41073380
-504,588,-16856,205,194,39,41270761
-580,500,-16672,307,309,786,2026300672
-592,532,-16852,132,123,6,41668576
-568,608,-16848,194,182,11,41866815
-604,552,-16784,158,166,12,42262191
-624,652,-16892,142,144,-8,42459363
-604,556,-16840,263,343,274,2329955840
-508,608,-16788,198,228,11,42852397
-756,592,-16928,138,100,10,43048856
-596,560,-16776,242,316,530,2481048576
-564,572,-16748,246,279,-29,43444164
-536,624,-16888,133,59,22,43643188
-536,620,-16812,261,30071,30583,43842679
-588,540,-16832,266,271,-29,44041776
-672,612,-16952,123,120,7,44239183
-636,564,-16728,251,285,-6,44436456
-572,564,-16732,258,281,16,44633628
-604,548,-16912,119,94,37,44830087
-528,548,-16856,201,258,-2,45026546
-508,540,-16688,277,347,9,45223005
-636,528,-16868,126,119,-5,3036811952
-572,548,-16784,212,216,530,3088820992
-568,488,-16828,315,336,-15,45819878
-640,588,-16916,117,139,37,46018848
-580,632,-16820,215,160,26,46217162
-620,544,-16696,287,317,15,46415267
-552,592,-16812,194,152,7,46613271
-588,604,-16780,184,198,4,46809730
-564,492,-16648,285,324,8,47006189
-608,604,-16800,173,220,-14,47202648
-588,640,-16844,156,144,-6,47399107
-660,552,-16644,278,336,0,47597423
-608,516,-16792,225,227,-7,47797877
-608,620,-16912,165,138,-7,47997023
-628,640,-16640,264,297,33,48196673
-656,488,-16776,237,263,274,3799333888
-700,608,-16856,133,141,23,48593716
-268,476,-16688,265,235,7,48790175
-532,480,-16804,265,289,3,48986634
-640,552,-16844,137,135,38,49183093
-684,512,-16732,236,280,-5,49380474
-572,516,-16692,298,314,15,49579381
-576,592,-16840,156,127,-1,49779984
-636,440,-16776,215,220,-252,49979723
-568,516,-16676,281,327,28,50179479
